File,Number of Cells
image1-left-rot-10.jpg,10
image1-left-rot-5.jpg,10
image1-right-rot-10.jpg,10
image1-right-rot-5.jpg,10
image1.jpg,10
image3-left-rot-10.JPG,14
image3-left-rot-5.JPG,14
image3-right-rot-10.JPG,14
image3-right-rot-5.JPG,14
image3.JPG,14
image4-left-rot-10.JPG,29
image4-left-rot-5.JPG,29
image4-right-rot-10.JPG,29
image4-right-rot-5.JPG,29
image4.JPG,29
image5-left-rot-10.JPG,11
image5-left-rot-5.JPG,11
image5-right-rot-10.JPG,11
image5-right-rot-5.JPG,11
image5.JPG,11
image6-left-rot-10.jpg,10
image6-left-rot-5.jpg,10
image6-right-rot-10.jpg,10
image6-right-rot-5.jpg,10
image6.jpg,10
image7_for_ocr-left-rot-10.jpg,32
image7_for_ocr-left-rot-5.jpg,29
image7_for_ocr-right-rot-10.jpg,28
image7_for_ocr-right-rot-5.jpg,30
image7_for_ocr.jpg,40
